last_updated,notes,rankings
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 22, 'dg_id': 14636, 'dg_skill_estimate': 1.08921456415229, 'owgr_rank': 47, 'player_name': 'Spieth, Jordan', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'NOR', 'datagolf_rank': 23, 'dg_id': 18841, 'dg_skill_estimate': 1.07995127543295, 'owgr_rank': 14, 'player_name': 'Hovland, Viktor', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 24, 'dg_id': 14577, 'dg_skill_estimate': 1.05075067495544, 'owgr_rank': 17, 'player_name': 'English, Harris', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 25, 'dg_id': 17536, 'dg_skill_estimate': 1.04746325505398, 'owgr_rank': 25, 'player_name': 'Spaun, J.J.', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 26, 'dg_id': 17606, 'dg_skill_estimate': 1.04139931479502, 'owgr_rank': 29, 'player_name': 'Berger, Daniel', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 27, 'dg_id': 18634, 'dg_skill_estimate': 1.02588756952847, 'owgr_rank': 11, 'player_name': 'McNealy, Maverick', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'SCO', 'datagolf_rank': 28, 'dg_id': 23323, 'dg_skill_estimate': 1.01710302110077, 'owgr_rank': 20, 'player_name': 'MacIntyre, Robert', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 29, 'dg_id': 19870, 'dg_skill_estimate': 0.970853480822503, 'owgr_rank': 44, 'player_name': 'McCarthy, Denny', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ENG', 'datagolf_rank': 30, 'dg_id': 27194, 'dg_skill_estimate': 0.943477258445041, 'owgr_rank': 82, 'player_name': 'Hall, Harry', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 31, 'dg_id': 26096, 'dg_skill_estimate': 0.931493435759165, 'owgr_rank': 30, 'player_name': 'Bhatia, Akshay', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 32, 'dg_id': 11676, 'dg_skill_estimate': 0.924623831257017, 'owgr_rank': 41, 'player_name': 'Finau, Tony', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'CAN', 'datagolf_rank': 33, 'dg_id': 17780, 'dg_skill_estimate': 0.923358654868533, 'owgr_rank': 37, 'player_name': 'Pendrith, Taylor', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'KOR', 'datagolf_rank': 34, 'dg_id': 17488, 'dg_skill_estimate': 0.910962493484145, 'owgr_rank': 23, 'player_name': 'Im, Sungjae', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 35, 'dg_id': 21554, 'dg_skill_estimate': 0.898282530209952, 'owgr_rank': 40, 'player_name': 'Poston, J.T.', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ENG', 'datagolf_rank': 36, 'dg_id': 18554, 'dg_skill_estimate': 0.883108484954695, 'owgr_rank': 33, 'player_name': 'Rai, Aaron', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'AUS', 'datagolf_rank': 37, 'dg_id': 9771, 'dg_skill_estimate': 0.876926040333111, 'owgr_rank': 39, 'player_name': 'Day, Jason', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 38, 'dg_id': 14838, 'dg_skill_estimate': 0.870399665409428, 'owgr_rank': 59, 'player_name': 'Reed, Patrick', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'SWE', 'datagolf_rank': 39, 'dg_id': 10419, 'dg_skill_estimate': 0.840618351045625, 'owgr_rank': 74, 'player_name': 'Noren, Alex', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 40, 'dg_id': 17365, 'dg_skill_estimate': 0.830190270882785, 'owgr_rank': 87, 'player_name': 'Mitchell, Keith', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'CAN', 'datagolf_rank': 41, 'dg_id': 13126, 'dg_skill_estimate': 0.820915199255533, 'owgr_rank': 31, 'player_name': 'Taylor, Nick', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 42, 'dg_id': 23465, 'dg_skill_estimate': 0.813022490491938, 'owgr_rank': 48, 'player_name': 'Greyserman, Max', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'MEX', 'datagolf_rank': 43, 'dg_id': 14735, 'dg_skill_estimate': 0.812610732266875, 'owgr_rank': 246, 'player_name': 'Ortiz, Carlos', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 44, 'dg_id': 17543, 'dg_skill_estimate': 0.78729799908844, 'owgr_rank': 54, 'player_name': 'Kim, Michael', 'primary_tour': 'PGA'}"
