current_season,schedule,tour
2025,"{'course': 'Torrey Pines Golf Course (South Course)', 'course_key': '004', 'event_id': 7, 'event_name': 'The Genesis Invitational', 'latitude': 32.905, 'location': 'San Diego, CA', 'longitude': -117.245, 'start_date': '2025-02-13', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Grange Golf Club', 'course_key': '12', 'event_id': '40', 'event_name': 'Adelaide', 'latitude': -34.888, 'location': 'Grange, Australia', 'longitude': 138.5, 'start_date': '2025-02-14', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'VidantaWorld', 'course_key': '978', 'event_id': 540, 'event_name': 'Mexico Open at VidantaWorld', 'latitude': 20.7, 'location': 'Vallarta, Mexico', 'longitude': -105.3, 'start_date': '2025-02-20', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Muthaiga GC', 'course_key': 'muthaiga gc', 'event_id': '2025109', 'event_name': 'Magical Kenya Open', 'latitude': -1.259, 'location': 'Nairobi, Kenya', 'longitude': 36.837, 'start_date': '2025-02-20', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Jockey Club', 'course_key': '107', 'event_id': 170, 'event_name': '118 Visa Argentina Open presented by Macro', 'latitude': -34.486, 'location': 'San Isidro, Buenos Aires, Argentina', 'longitude': -58.533, 'start_date': '2025-02-27', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'PGA National Resort (The Champion Course)', 'course_key': '928', 'event_id': 10, 'event_name': 'Cognizant Classic in The Palm Beaches', 'latitude': 26.829, 'location': 'Palm Beach Gardens, FL', 'longitude': -80.141, 'start_date': '2025-02-27', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Durban CC', 'course_key': 'durban country club', 'event_id': '2025110', 'event_name': 'Investec South African Open Championship', 'latitude': -29.828, 'location': 'Durban, South Africa', 'longitude': 31.034, 'start_date': '2025-02-27', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': ""Arnold Palmer's Bay Hill Club & Lodge"", 'course_key': '009', 'event_id': 9, 'event_name': 'Arnold Palmer Invitational presented by Mastercard', 'latitude': 28.458, 'location': 'Bay Hill, FL', 'longitude': -81.511, 'start_date': '2025-03-06', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Grand Reserve Golf Club', 'course_key': '742', 'event_id': 483, 'event_name': 'Puerto Rico Open', 'latitude': 18.405, 'location': 'Rio Grande, Puerto Rico', 'longitude': -65.799, 'start_date': '2025-03-06', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Prince of Wales Country Club', 'course_key': '776', 'event_id': 107, 'event_name': 'Astara Chile Classic presented by Scotiabank', 'latitude': -33.434, 'location': 'Santiago, Chile', 'longitude': -70.566, 'start_date': '2025-03-06', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Houghton GC', 'course_key': 'houghton gc', 'event_id': '2025111', 'event_name': 'Joburg Open', 'latitude': -26.164, 'location': 'Johannesburg, South Africa', 'longitude': 28.07, 'start_date': '2025-03-06', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Hong Kong Golf Club', 'course_key': '20', 'event_id': '41', 'event_name': 'Hong Kong', 'latitude': 22.496, 'location': 'Sheung Shui, Hong Kong', 'longitude': 114.121, 'start_date': '2025-03-07', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Sawgrass (THE PLAYERS Stadium Course)', 'course_key': '011', 'event_id': 11, 'event_name': 'THE PLAYERS Championship', 'latitude': 30.198, 'location': 'Ponte Vedra Beach, FL', 'longitude': -81.394, 'start_date': '2025-03-13', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Sentosa Golf Club', 'course_key': '13', 'event_id': '42', 'event_name': 'Singapore', 'latitude': 1.244, 'location': 'Singapore', 'longitude': 103.829, 'start_date': '2025-03-14', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Laguna National Golf Resort Club', 'course_key': 'laguna national g&cc classic course', 'event_id': '2025112', 'event_name': 'Porsche Singapore Classic', 'latitude': 1.323, 'location': 'Singapore', 'longitude': 103.963, 'start_date': '2025-03-20', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Innisbrook Resort (Copperhead Course)', 'course_key': '665', 'event_id': 475, 'event_name': 'Valspar Championship', 'latitude': 28.11, 'location': 'Palm Harbor, FL', 'longitude': -82.76, 'start_date': '2025-03-20', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'DLF G&CC', 'course_key': 'dlf g&cc player course', 'event_id': '2025113', 'event_name': 'Hero Indian Open', 'latitude': 28.455, 'location': 'Gurgaon, India', 'longitude': 77.106, 'start_date': '2025-03-27', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Memorial Park Golf Course', 'course_key': '897', 'event_id': 20, 'event_name': ""Texas Children's Houston Open"", 'latitude': 29.924, 'location': 'Houston, TX', 'longitude': -95.261, 'start_date': '2025-03-27', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Landings Golf & Athletic Club', 'course_key': '805', 'event_id': 128, 'event_name': 'Club Car Championship at The Landings Golf & Athletic Club', 'latitude': 31.93, 'location': 'Savannah, GA', 'longitude': -81.058, 'start_date': '2025-04-03', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC San Antonio (Oaks Course)', 'course_key': '770', 'event_id': 41, 'event_name': 'Valero Texas Open', 'latitude': 29.665, 'location': 'San Antonio, TX', 'longitude': -98.4, 'start_date': '2025-04-03', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Trump National Doral', 'course_key': '21', 'event_id': '43', 'event_name': 'Miami', 'latitude': 25.813, 'location': 'Miami, FL', 'longitude': -80.339, 'start_date': '2025-04-04', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Augusta National Golf Club', 'course_key': '014', 'event_id': 14, 'event_name': 'Masters Tournament', 'latitude': 33.5, 'location': 'Augusta, GA', 'longitude': -82.02, 'start_date': '2025-04-10', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Lakewood National Golf Club', 'course_key': '807', 'event_id': 129, 'event_name': 'LECOM Suncoast Classic', 'latitude': 27.437, 'location': 'Lakewood Ranch, FL', 'longitude': -82.361, 'start_date': '2025-04-16', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Harbour Town Golf Links', 'course_key': '012', 'event_id': 12, 'event_name': 'RBC Heritage', 'latitude': 32.136, 'location': 'Hilton Head Island, SC', 'longitude': -80.81, 'start_date': '2025-04-17', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Enhance Anting GC', 'course_key': 'enhance anting gc', 'event_id': '2025115', 'event_name': 'Volvo China Open', 'latitude': 31.27, 'location': 'Jiading District, China', 'longitude': 121.187, 'start_date': '2025-04-17', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Puntacana Resort & Club (Corales Golf Course)', 'course_key': '244', 'event_id': 522, 'event_name': 'Corales Puntacana Championship', 'latitude': 18.565, 'location': 'Punta Cana, La Altagracia, Dominican Republic', 'longitude': -68.34, 'start_date': '2025-04-17', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Texas Rangers Golf Club', 'course_key': '060', 'event_id': 137, 'event_name': 'Veritex Bank Championship', 'latitude': 32.777, 'location': 'Arlington, TX', 'longitude': -97.103, 'start_date': '2025-04-24', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Louisiana', 'course_key': '714', 'event_id': 18, 'event_name': 'Zurich Classic of New Orleans', 'latitude': 29.902, 'location': 'Avondale, LA', 'longitude': -90.19, 'start_date': '2025-04-24', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Blackstone Course, Mission Hills Resort Haikou', 'course_key': 'blackstone course mission hills', 'event_id': '2025139', 'event_name': 'Hainan Classic', 'latitude': 19.91, 'location': 'Hainan Island, China', 'longitude': 110.322, 'start_date': '2025-04-24', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Club de Golf Chapultepec', 'course_key': '28', 'event_id': '44', 'event_name': 'Mexico City', 'latitude': 19.43, 'location': 'Mexico City, Mexico', 'longitude': -99.244, 'start_date': '2025-04-25', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Craig Ranch', 'course_key': '921', 'event_id': 19, 'event_name': 'THE CJ CUP Byron Nelson', 'latitude': 33.14, 'location': 'McKinney, TX', 'longitude': -96.72, 'start_date': '2025-05-01', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'PGA Riviera Maya', 'course_key': '098', 'event_id': 171, 'event_name': 'Tulum Championship at PGA Riviera Maya', 'latitude': 20.375, 'location': 'Akumal, Quintana Roo, Mexico', 'longitude': -87.34, 'start_date': '2025-05-01', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Jack Nicklaus Golf Course', 'course_key': '29', 'event_id': '45', 'event_name': 'Korea', 'latitude': 37.38, 'location': 'Incheon, South Korea', 'longitude': 126.624, 'start_date': '2025-05-02', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Philadelphia Cricket Club (Wissahickon Course)', 'course_key': '379', 'event_id': 480, 'event_name': 'Truist Championship', 'latitude': 40.109, 'location': 'Flourtown, PA', 'longitude': -75.224, 'start_date': '2025-05-08', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Dunes Golf and Beach Club', 'course_key': '925', 'event_id': 553, 'event_name': 'ONEflight Myrtle Beach Classic', 'latitude': 33.758, 'location': 'Myrtle Beach, SC', 'longitude': -78.796, 'start_date': '2025-05-08', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Regnum Carya', 'course_key': 'regnum carya golf & spa resort', 'event_id': '2025140', 'event_name': 'Turkish Airlines Open', 'latitude': 36.863, 'location': 'Antalya, Turkey', 'longitude': 31.004, 'start_date': '2025-05-08', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Quail Hollow Club', 'course_key': '241', 'event_id': 33, 'event_name': 'PGA Championship', 'latitude': 35.116, 'location': 'Charlotte, NC', 'longitude': -80.842, 'start_date': '2025-05-15', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Blue Hills Country Club', 'course_key': '810', 'event_id': 100, 'event_name': 'AdventHealth Championship', 'latitude': 38.899, 'location': 'Kansas City, MO', 'longitude': -94.602, 'start_date': '2025-05-15', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Rinkven International GC', 'course_key': 'rinkven international gc', 'event_id': '2025117', 'event_name': 'Soudal Open', 'latitude': 51.281, 'location': 'Schilde, Belgium', 'longitude': 4.576, 'start_date': '2025-05-22', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Holston Hills Country Club', 'course_key': '063', 'event_id': 11, 'event_name': 'Visit Knoxville Open', 'latitude': 35.995, 'location': 'Knoxville, TN', 'longitude': -83.841, 'start_date': '2025-05-22', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Colonial Country Club', 'course_key': '021', 'event_id': 21, 'event_name': 'Charles Schwab Challenge', 'latitude': 32.717, 'location': 'Fort Worth, TX', 'longitude': -97.373, 'start_date': '2025-05-22', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Raleigh Country Club', 'course_key': '087', 'event_id': 48, 'event_name': 'UNC Health Championship presented by STITCH', 'latitude': 35.776, 'location': 'Raleigh, NC', 'longitude': -78.593, 'start_date': '2025-05-29', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Gut Altentann GC', 'course_key': 'gut altentann gc', 'event_id': '2025143', 'event_name': 'Austrian Alpine Open presented by SalzburgerLand', 'latitude': 47.892, 'location': 'Wallersee, Austria', 'longitude': 13.201, 'start_date': '2025-05-29', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Muirfield Village Golf Club', 'course_key': '023', 'event_id': 23, 'event_name': 'the Memorial Tournament presented by Workday', 'latitude': 40.141, 'location': 'Dublin, OH', 'longitude': -83.141, 'start_date': '2025-05-29', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The International', 'course_key': 'international', 'event_id': '2025118', 'event_name': 'KLM Open', 'latitude': 52.328, 'location': 'Badhoevedorp, Netherlands', 'longitude': 4.803, 'start_date': '2025-06-05', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Toronto at Osprey Valley (North Course)', 'course_key': '935', 'event_id': 32, 'event_name': 'RBC Canadian Open', 'latitude': 43.849, 'location': 'Alton, ON', 'longitude': -80.043, 'start_date': '2025-06-05', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Thornblade Club;Carolina Country Club', 'course_key': '678;680', 'event_id': 37, 'event_name': 'BMW Charity Pro-Am presented by TD SYNNEX', 'latitude': 34.869, 'location': 'Greer, SC', 'longitude': -82.265, 'start_date': '2025-06-05', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Robert Trent Jones Golf Club', 'course_key': '30', 'event_id': '46', 'event_name': 'Virginia', 'latitude': 38.776, 'location': 'Gainesville, VA', 'longitude': -77.639, 'start_date': '2025-06-06', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Oakmont Country Club', 'course_key': '608', 'event_id': 26, 'event_name': 'U.S. Open', 'latitude': 40.526, 'location': 'Oakmont, PA', 'longitude': -79.827, 'start_date': '2025-06-12', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC River Highlands', 'course_key': '503', 'event_id': 34, 'event_name': 'Travelers Championship', 'latitude': 41.632, 'location': 'Hartford, CT', 'longitude': -72.639, 'start_date': '2025-06-19', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Crestview Country Club', 'course_key': '641', 'event_id': 23, 'event_name': 'Blue Cross and Blue Shield of Kansas Wichita Open', 'latitude': 37.702, 'location': 'Wichita, KS', 'longitude': -97.187, 'start_date': '2025-06-19', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Panther Creek Country Club', 'course_key': '055', 'event_id': 122, 'event_name': 'Memorial Health Championship presented by LRS', 'latitude': 39.729, 'location': 'Springfield, IL', 'longitude': -89.712, 'start_date': '2025-06-26', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Detroit Golf Club', 'course_key': '876', 'event_id': 524, 'event_name': 'Rocket Mortgage Classic', 'latitude': 42.426, 'location': 'Detroit, MI', 'longitude': -83.126, 'start_date': '2025-06-26', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Argentario GC', 'course_key': 'argentario gc', 'event_id': '2025119', 'event_name': 'Italian Open', 'latitude': 42.419, 'location': 'Monte Argentario, Italy', 'longitude': 11.182, 'start_date': '2025-06-26', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Maridoe Golf Club', 'course_key': '26', 'event_id': '47', 'event_name': 'Dallas', 'latitude': 32.962, 'location': 'Carrollton, TX', 'longitude': -96.871, 'start_date': '2025-06-27', 'tour': 'alt (liv golf)'}","pga, kft, euro, alt (liv golf)"
