last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 13562, 'driving_acc': -0.014, 'driving_dist': 2.483, 'player_name': 'Matsuyama, Hideki', 'sg_app': 0.479, 'sg_arg': 0.381, 'sg_ott': 0.089, 'sg_putt': 0.182, 'sg_total': 1.132}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17536, 'driving_acc': 0.034, 'driving_dist': 3.193, 'player_name': 'Spaun, J.J.', 'sg_app': 0.563, 'sg_arg': -0.023, 'sg_ott': 0.462, 'sg_putt': 0.099, 'sg_total': 1.102}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14609, 'driving_acc': 0.065, 'driving_dist': -2.759, 'player_name': 'Kim, Si Woo', 'sg_app': 0.407, 'sg_arg': 0.256, 'sg_ott': 0.307, 'sg_putt': 0.123, 'sg_total': 1.094}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17780, 'driving_acc': -0.006, 'driving_dist': 12.344, 'player_name': 'Pendrith, Taylor', 'sg_app': 0.505, 'sg_arg': -0.056, 'sg_ott': 0.612, 'sg_putt': -0.005, 'sg_total': 1.056}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18841, 'driving_acc': 0.012, 'driving_dist': 6.398, 'player_name': 'Hovland, Viktor', 'sg_app': 0.664, 'sg_arg': -0.105, 'sg_ott': 0.331, 'sg_putt': 0.16, 'sg_total': 1.05}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18554, 'driving_acc': 0.123, 'driving_dist': -9.892, 'player_name': 'Rai, Aaron', 'sg_app': 0.533, 'sg_arg': 0.113, 'sg_ott': 0.415, 'sg_putt': -0.016, 'sg_total': 1.046}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14577, 'driving_acc': 0.037, 'driving_dist': 0.711, 'player_name': 'English, Harris', 'sg_app': 0.226, 'sg_arg': 0.137, 'sg_ott': 0.295, 'sg_putt': 0.375, 'sg_total': 1.033}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14735, 'driving_acc': 0.008, 'driving_dist': 5.038, 'player_name': 'Ortiz, Carlos', 'sg_app': 0.314, 'sg_arg': 0.119, 'sg_ott': 0.431, 'sg_putt': 0.099, 'sg_total': 0.963}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23475, 'driving_acc': 0.016, 'driving_dist': 1.08, 'player_name': 'Novak, Andrew', 'sg_app': 0.357, 'sg_arg': 0.181, 'sg_ott': 0.283, 'sg_putt': 0.141, 'sg_total': 0.962}"
2025-06-09 16:00:33 UTC,"{'dg_id': 26096, 'driving_acc': 0.03, 'driving_dist': -2.691, 'player_name': 'Bhatia, Akshay', 'sg_app': 0.497, 'sg_arg': -0.037, 'sg_ott': 0.121, 'sg_putt': 0.379, 'sg_total': 0.959}"
2025-06-09 16:00:33 UTC,"{'dg_id': 11676, 'driving_acc': -0.007, 'driving_dist': 6.691, 'player_name': 'Finau, Tony', 'sg_app': 0.503, 'sg_arg': 0.204, 'sg_ott': 0.262, 'sg_putt': -0.022, 'sg_total': 0.946}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17488, 'driving_acc': 0.066, 'driving_dist': -2.136, 'player_name': 'Im, Sungjae', 'sg_app': -0.211, 'sg_arg': 0.492, 'sg_ott': 0.282, 'sg_putt': 0.357, 'sg_total': 0.92}"
2025-06-09 16:00:33 UTC,"{'dg_id': 27194, 'driving_acc': -0.005, 'driving_dist': 0.707, 'player_name': 'Hall, Harry', 'sg_app': 0.069, 'sg_arg': 0.234, 'sg_ott': -0.004, 'sg_putt': 0.612, 'sg_total': 0.911}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17365, 'driving_acc': 0.001, 'driving_dist': 10.261, 'player_name': 'Mitchell, Keith', 'sg_app': 0.416, 'sg_arg': -0.028, 'sg_ott': 0.504, 'sg_putt': 0.009, 'sg_total': 0.9}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17064, 'driving_acc': -0.011, 'driving_dist': 7.725, 'player_name': 'Herbert, Lucas', 'sg_app': -0.046, 'sg_arg': 0.101, 'sg_ott': 0.536, 'sg_putt': 0.283, 'sg_total': 0.874}"
2025-06-09 16:00:33 UTC,"{'dg_id': 20770, 'driving_acc': 0.071, 'driving_dist': -2.366, 'player_name': 'Munoz, Sebastian', 'sg_app': 0.467, 'sg_arg': -0.006, 'sg_ott': 0.439, 'sg_putt': -0.032, 'sg_total': 0.868}"
2025-06-09 16:00:33 UTC,"{'dg_id': 16841, 'driving_acc': -0.057, 'driving_dist': 15.85, 'player_name': 'Lee, Min Woo', 'sg_app': 0.082, 'sg_arg': 0.3, 'sg_ott': 0.273, 'sg_putt': 0.204, 'sg_total': 0.86}"
2025-06-09 16:00:33 UTC,"{'dg_id': 21554, 'driving_acc': 0.051, 'driving_dist': -5.394, 'player_name': 'Poston, J.T.', 'sg_app': 0.25, 'sg_arg': 0.191, 'sg_ott': 0.1, 'sg_putt': 0.299, 'sg_total': 0.84}"
2025-06-09 16:00:33 UTC,"{'dg_id': 29767, 'driving_acc': 0.025, 'driving_dist': 0.561, 'player_name': 'Gerard, Ryan', 'sg_app': 0.418, 'sg_arg': 0.132, 'sg_ott': 0.292, 'sg_putt': -0.009, 'sg_total': 0.832}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18474, 'driving_acc': 0.024, 'driving_dist': 4.226, 'player_name': 'Smalley, Alex', 'sg_app': 0.262, 'sg_arg': 0.142, 'sg_ott': 0.353, 'sg_putt': 0.068, 'sg_total': 0.826}"
2025-06-09 16:00:33 UTC,"{'dg_id': 27364, 'driving_acc': 0.017, 'driving_dist': 5.071, 'player_name': 'Thompson, Davis', 'sg_app': 0.348, 'sg_arg': 0.158, 'sg_ott': 0.343, 'sg_putt': -0.051, 'sg_total': 0.799}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14502, 'driving_acc': 0.022, 'driving_dist': -0.065, 'player_name': 'Cauley, Bud', 'sg_app': 0.39, 'sg_arg': 0.058, 'sg_ott': 0.254, 'sg_putt': 0.089, 'sg_total': 0.791}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17881, 'driving_acc': 0.012, 'driving_dist': 9.493, 'player_name': 'Yu, Kevin', 'sg_app': 0.309, 'sg_arg': -0.042, 'sg_ott': 0.539, 'sg_putt': -0.015, 'sg_total': 0.791}"
2025-06-09 16:00:33 UTC,"{'dg_id': 26651, 'driving_acc': -0.047, 'driving_dist': 13.444, 'player_name': 'Young, Cameron', 'sg_app': 0.075, 'sg_arg': 0.057, 'sg_ott': 0.389, 'sg_putt': 0.261, 'sg_total': 0.782}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17646, 'driving_acc': 0.011, 'driving_dist': 1.356, 'player_name': 'Fitzpatrick, Matt', 'sg_app': 0.223, 'sg_arg': 0.163, 'sg_ott': 0.135, 'sg_putt': 0.256, 'sg_total': 0.777}"
